#,Page,Section,Field,Type,Editable,Airtable Table,Airtable Field,Input Prompt,Constraint,Example,Notes
1,1,Header,Flock Safety logo,image,No,—,—,—,SVG / brand asset,Flock Safety wordmark,Locked — brand asset baked into template
2,1,Headline,"Headline vertical phrase (""Flock Safety for [X]"")",text,Yes,Verticals,headline_vertical,"Enter the vertical name as it should appear after ""Flock Safety for"". Title case.",≤ 24 chars,Transit Agencies,"Drives both #2 and #30 (page 2 section header)"
3,1,Headline,Subheadline tagline,text,Yes,Verticals,subheadline,"3 short punchy phrases separated by periods. Sets the value proposition.",≤ 80 chars,Real Time Awareness. Rapid Response. Safer Transit.,Three-beat rhythm matches brand voice
4,1,Header,Hero image (cover band),image,Yes,Verticals,hero_image_cover,"Upload a vertical-specific hero photo. Landscape orientation, high contrast, action-oriented.",~1500×950 px JPG/PNG,Bus + crosswalk scene,Right-half of the dark green header band
5,1,Body,Body paragraph 1 (problem framing),rich text,Yes,Verticals,body_paragraph_1,"Describe the operational challenge this vertical faces. 2–3 sentences, no jargon.",~280 chars,"Transit agencies manage complex, high-traffic environments…",Plain text — no bold needed
6,1,Body,Body paragraph 2 (Flock solution),rich text,Yes,Verticals,body_paragraph_2,"Describe how Flock helps. Use **double asterisks** to bold the key value phrase.",~280 chars,"Flock brings these environments together, **providing teams situational awareness**…",Markdown bold supported
7,1,Advantage,"""The Flock Advantage"" section header",text,No,—,—,—,Fixed string,The Flock Advantage,Locked — same on every piece
8,1,Advantage,Advantage 1 — title,text,Yes,Verticals,advantage_1_title,"One-line headline for the first ""Flock Advantage"" pillar.",≤ 60 chars,The largest public-private safety network,
9,1,Advantage,Advantage 1 — description,text,Yes,Verticals,advantage_1_desc,"2-line supporting copy for advantage 1.",≤ 160 chars,Our intelligent platform unites communities…,
10,1,Advantage,Advantage 2 — title,text,Yes,Verticals,advantage_2_title,One-line headline for the second pillar.,≤ 60 chars,Technology that's always up-to-date.,
11,1,Advantage,Advantage 2 — description,text,Yes,Verticals,advantage_2_desc,2-line supporting copy for advantage 2.,≤ 160 chars,Flock's platform ensures you get automatic updates…,
12,1,Advantage,Advantage 3 — title,text,Yes,Verticals,advantage_3_title,One-line headline for the third pillar.,≤ 60 chars,Privacy-first. Always Accountable.,
13,1,Advantage,Advantage 3 — description,text,Yes,Verticals,advantage_3_desc,2-line supporting copy for advantage 3.,≤ 160 chars,We built Flock with privacy at the core…,
14,1,Advantage,Advantage 4 — title,text,Yes,Verticals,advantage_4_title,One-line headline for the fourth pillar.,≤ 60 chars,"Everything connected, no silos.",
15,1,Advantage,Advantage 4 — description,text,Yes,Verticals,advantage_4_desc,2-line supporting copy for advantage 4.,≤ 160 chars,Flock's open ecosystem unites all your safety tools…,
16,1,Proof Panel,"""Proven at Scale"" panel header",text,No,—,—,—,Fixed string,Proven at Scale,Locked — green panel header
17,1,Proof Panel,Stat bullet 1,text,Yes,Verticals,stat_1,Lead stat — outcome metric. Use bold-clean format with %.,≤ 80 chars,20% of reported crime in the U.S. solved using Flock,
